Category,FullName,ShortName,address,geometry
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Консультативно-диагностический центр № 2 филиал № 4 Департамента здравоохранения города Москвы»,ГБУЗ КДЦ № 2 филиал № 4 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ростокино, улица Бажова, дом 11, корпус 3",POINT(37.657445604 55.825046817)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 46 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 46 филиал № 2 ДЗМ,"город Москва, Иерусалимская улица, дом 4, строение 1",POINT(37.676124819 55.732971009)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 220 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 220 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица Заморёнова, дом 27",POINT(37.567585197 55.760338087)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 66 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 66 филиал № 2 ДЗМ,"город Москва, улица Молдагуловой, дом 10А",POINT(37.806866154 55.725855167)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Диагностический центр № 3 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ДЦ № 3 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, улица Михайлова, дом 33",POINT(37.776641007 55.72509686)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 214 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 214 филиал № 2 ДЗМ,"город Москва, улица Генерала Белова, дом 19, корпус 2",POINT(37.720847329 55.61784129)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Диагностический центр № 3 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДЦ № 3 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, Юрьевский переулок, дом 13",POINT(37.718636475 55.765349589)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Диагностический центр № 3 филиал № 5 Департамента здравоохранения города Москвы»,ГБУЗ ДЦ № 3 филиал № 5 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нижегородский, улица Верхняя Хохловка, дом 2, строение 1",POINT(37.715501502 55.733484744)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 2 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 2 филиал № 3 ДЗМ,"город Москва, Ялтинская улица, дом 10",POINT(37.609705592 55.648446988)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 64 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 64 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Соколиная Гора, Малая Семёновская улица, дом 13",POINT(37.71297981 55.785402351)
