"id","Code","Name","global_id","Is net object","Operating company","Object type","Area","District","Address","Public phone","Seats amount","Presence of privileges","Longitude in WGS-84","Latitude in WGS-84","Geodata","Centroid"
12351,"00449145",Матрешка,"2671324886",нет,"",кафе,Центральный административный округ,Басманный район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Нижняя Красносельская улица, дом 35, строение 59",PublicPhone:нет телефона,"0",нет,"37.6748319999999950","55.7766557634150000","type:Point
coordinates:37.674832,55.776655763","{type=Point, coordinates=[37.674832, 55.776655763]}"
12352,"00449034",Шашлык Кебаб,"2671325136",нет,"",предприятие быстрого обслуживания,Юго-Западный административный округ,район Южное Бутово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Бутово, бульвар Адмирала Ушакова, дом 18",PublicPhone:(991) 270-70-77,"0",нет,"37.5489500000000000","55.5475350000000000","type:Point
coordinates:37.54895,55.547535","{type=Point, coordinates=[37.54895, 55.547535]}"
12353,"00448956",Кофи фи кофейня,"2671325142",нет,"",предприятие быстрого обслуживания,Западный административный округ,район Дорогомилово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, Большая Дорогомиловская улица, дом 1",PublicPhone:нет телефона,"0",нет,"37.5625440000000200","55.7456697544145850","type:Point
coordinates:37.562544,55.745669754","{type=Point, coordinates=[37.562544, 55.745669754]}"
12354,"00449190",ONE PRICE COFFEE,"2671325186",да,ONE PRICE COFFEE,кафетерий,Северо-Западный административный округ,район Митино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Дубравная улица, дом 33",PublicPhone:(968) 746-99-93,"8",нет,"37.3595499999999920","55.8451447833964640","type:Point
coordinates:37.35955,55.845144783","{type=Point, coordinates=[37.35955, 55.845144783]}"
12355,"00449185",KD Cofee,"2671325238",нет,"",кафетерий,Восточный административный округ,район Соколиная Гора,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Соколиная Гора, Вольная улица, дом 25, строение 4",PublicPhone:нет телефона,"10",нет,"37.7330840000000000","55.7775487636747600","type:Point
coordinates:37.733084,55.777548764","{type=Point, coordinates=[37.733084, 55.777548764]}"
12356,"00449245",Кантата,"2671325261",да,Кантата,кафетерий,Западный административный округ,район Кунцево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кунцево, Новорижское шоссе, 22-й километр, дом 1, строение 1",PublicPhone:(965) 577-49-55,"7",нет,"37.3004740000000150","55.8019107707690270","type:Point
coordinates:37.300474,55.801910771","{type=Point, coordinates=[37.300474, 55.801910771]}"
12357,"00450189",FARШ,"2672136289",да,FARШ,ресторан,Центральный административный округ,район Замоскворечье,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Павелецкая площадь, дом 3",PublicPhone:(965) 136-92-65,"30",нет,"37.6399249999999910","55.7309387501443960","type:Point
coordinates:37.639925,55.73093875","{type=Point, coordinates=[37.639925, 55.73093875]}"
12358,"00450237",Цыпочка,"2672136291",нет,"",ресторан,Северный административный округ,район Беговой,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Беговой, Ленинградский проспект, дом 29, корпус 2",PublicPhone:(925) 149-76-29,"25",нет,"37.5620680000000040","55.7862077661945290","type:Point
coordinates:37.562068,55.786207766","{type=Point, coordinates=[37.562068, 55.786207766]}"
19033,"00572761",Душа лаваша,"2827512794",нет,"",предприятие быстрого обслуживания,Центральный административный округ,Тверской район,"город Москва, Краснопролетарская улица, дом 16, строение 1",PublicPhone:нет телефона,"18",нет,"37.6071970000000000","55.7770890000000000","type:Point
coordinates:37.607197,55.777089","{type=Point, coordinates=[37.607197, 55.777089]}"
12359,"00450254",REfresh,"2672136292",нет,"",ресторан,Центральный административный округ,Пресненский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица Спиридоновка, дом 26",PublicPhone:нет телефона,"25",нет,"37.5665768084868360","55.7698902966665170","type:Point
coordinates:37.566576808,55.769890297","{type=Point, coordinates=[37.566576808, 55.769890297]}"
