category,fullname,shortname,address,location
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 129 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 129 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Северное, Чертановская улица, дом 14А",POINT(37.596934485 55.629182289)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 122 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 122 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Восточное Измайлово, Измайловский бульвар, дом 61",POINT(37.811620491 55.797402759)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 122 Департамента здравоохранения Москвы». Консультативное отделение,ГБУЗ ДГП № 122 ДЗМ. Консультативное отделение,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Восточное Измайлово, Первомайская улица, дом 113",POINT(37.81602776 55.793735901)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 38 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 38 филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Большой Строченовский переулок, дом 23",POINT(37.632702381 55.727066701)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская клиническая больница № 9 имени Г. Н. Сперанского Департамента здравоохранения города Москвы». Педиатрическое отделение,ГБУЗ ДГКБ № 9 имени Г. Н. Сперанского ДЗМ. Педиатрическое отделение,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Шмитовский проезд, дом 23, строение 2",POINT(37.543606884 55.756609852)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 143 филиал № 4 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 143 филиал № 4 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Выхино-Жулебино, Хвалынский бульвар, дом 10",POINT(37.847184319 55.697023388)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 131 филиал № 4 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 131 филиал № 4 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, улица Академика Анохина, дом 40А",POINT(37.470481708 55.656681313)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 61 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 61 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Печатники, улица Полбина, дом 50",POINT(37.726787178 55.677700779)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 118 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 118 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Бутово, Куликовская улица, дом 1Б",POINT(37.56543862 55.571697754)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 133 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 133 филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ховрино, Зеленоградская улица, дом 27",POINT(37.49248884 55.873823436)
